text,intent
搜一下这个,web_search
帮我查查,web_search
网上搜搜,web_search
查一下,web_search
搜索一下,web_search
帮我搜一下,web_search
上网查查这个,web_search
找一下相关资料,web_search
帮我查一下文档,web_search
搜搜看有没有,web_search
查查这个怎么用,web_search
搜一下这个报错,web_search
帮我找找教程,web_search
查一下最新版本,web_search
搜索相关文章,web_search
帮我查查这是什么,web_search
找一下官方文档,web_search
搜一下怎么配置,web_search
查一下有没有解决方案,web_search
搜索一下用法,web_search
帮我找找示例,web_search
查查有什么替代方案,web_search
搜一下这个库,web_search
帮我查最新的文档,web_search
找一下API参考,web_search
搜索这个概念,web_search
帮我查查兼容性,web_search
搜一下这个命令,web_search
查一下怎么安装,web_search
帮我搜索这个工具,web_search
找找有没有类似的库,web_search
搜一下性能对比,web_search
查查这个配置项,web_search
帮我找一下变更记录,web_search
搜索一下安全公告,web_search
查一下支持哪些平台,web_search
搜一下怎么升级,web_search
帮我查社区讨论,web_search
找找相关的issues,web_search
搜索一下部署方式,web_search
查一下这个参数什么意思,web_search
搜一下最佳实践,web_search
帮我查查许可协议,web_search
找一下系统要求,web_search
搜索这个插件,web_search
查一下废弃通知,web_search
帮我搜一下架构模式,web_search
搜一下错误码含义,web_search
查一下这个接口的文档,web_search
帮我找找解决办法,web_search
这个错误什么意思,web_search
有没有相关的文档,web_search
最新版有什么变化,web_search
这个怎么用来着,web_search
哪里能找到教程,web_search
有没有示例代码,web_search
这个工具怎么安装,web_search
官方推荐的做法是什么,web_search
有没有对比评测,web_search
这个框架的文档在哪,web_search
写个代码,coding_assist
帮我写段程序,coding_assist
修一下这个bug,coding_assist
调试这个错误,coding_assist
实现这个功能,coding_assist
重构一下,coding_assist
优化这个函数,coding_assist
加上错误处理,coding_assist
创建这个类,coding_assist
帮我写个脚本,coding_assist
修复这个测试,coding_assist
跑一下测试,coding_assist
编译一下,coding_assist
执行这个命令,coding_assist
写个测试用例,coding_assist
加个日志,coding_assist
修复类型错误,coding_assist
解决这个导入问题,coding_assist
改成异步的,coding_assist
加上参数校验,coding_assist
修复空指针,coding_assist
处理边界情况,coding_assist
提取成函数,coding_assist
简化这段代码,coding_assist
加重试机制,coding_assist
修复并发问题,coding_assist
实现这个接口,coding_assist
写个迁移脚本,coding_assist
创建API接口,coding_assist
加个中间件,coding_assist
修复内存泄漏,coding_assist
写个工具函数,coding_assist
加上输入验证,coding_assist
修复死循环,coding_assist
加个缓存,coding_assist
加超时处理,coding_assist
修复编码问题,coding_assist
写个解析器,coding_assist
建表,coding_assist
加分页功能,coding_assist
修复死锁,coding_assist
实现队列,coding_assist
写个序列化方法,coding_assist
修复崩溃,coding_assist
加上认证,coding_assist
实现限流,coding_assist
修复这个异常,coding_assist
写个配置加载器,coding_assist
加连接池,coding_assist
修复超时问题,coding_assist
实现调度器,coding_assist
写个性能测试,coding_assist
修复性能问题,coding_assist
加批处理,coding_assist
实现缓存层,coding_assist
写个校验器,coding_assist
修复不稳定测试,coding_assist
加健康检查,coding_assist
实现优雅退出,coding_assist
写个转换器,coding_assist
修复数据损坏,coding_assist
加监控指标,coding_assist
分析一下数据,data_analysis
看看统计结果,data_analysis
统计一下,data_analysis
算一下平均值,data_analysis
找出异常数据,data_analysis
计算百分位,data_analysis
汇总一下,data_analysis
看看趋势,data_analysis
统计分布情况,data_analysis
计算比率,data_analysis
错误率是多少,data_analysis
看看使用模式,data_analysis
按类型统计,data_analysis
计算吞吐量,data_analysis
找出高峰时段,data_analysis
看看各项指标,data_analysis
计算可用性,data_analysis
找相关性,data_analysis
分析性能数据,data_analysis
看看资源使用情况,data_analysis
每秒请求量多少,data_analysis
找出瓶颈,data_analysis
算延迟统计,data_analysis
看看错误分布,data_analysis
