text,intent
search for this online,web_search
look this up for me,web_search
find this on the web,web_search
google this,web_search
search the internet,web_search
look it up online,web_search
find out about this,web_search
search for documentation,web_search
look up the docs,web_search
find the reference,web_search
search how to do this,web_search
look up this error,web_search
find an article about this,web_search
search for a solution,web_search
look up the answer,web_search
find examples online,web_search
search for tutorials,web_search
look up best practices,web_search
find the specification,web_search
search for alternatives,web_search
look up the API reference,web_search
find recent news about this,web_search
search for benchmarks,web_search
look up compatibility info,web_search
find a guide for this,web_search
search for release notes,web_search
look up pricing information,web_search
find the changelog,web_search
search for known issues,web_search
look up supported versions,web_search
find the migration guide,web_search
search for performance tips,web_search
look up configuration options,web_search
find security advisories,web_search
search for community discussions,web_search
look up troubleshooting steps,web_search
find related libraries,web_search
search for code examples,web_search
look up the license,web_search
find system requirements,web_search
search for plugins,web_search
look up platform support,web_search
find upgrade instructions,web_search
search for workarounds,web_search
look up deprecation notices,web_search
find comparison charts,web_search
search for integration guides,web_search
look up error codes,web_search
find deployment docs,web_search
search for architecture patterns,web_search
what does this error mean,web_search
where can I find docs for this,web_search
is there a guide for this,web_search
what is the latest version of,web_search
how do other people solve this,web_search
what are the options for,web_search
where is the official documentation,web_search
can you find info about,web_search
what does the spec say about,web_search
any articles on this topic,web_search
code this function,coding_assist
fix this bug,coding_assist
debug this error,coding_assist
write this code,coding_assist
implement this feature,coding_assist
refactor this,coding_assist
optimize this function,coding_assist
add error handling here,coding_assist
create this class,coding_assist
build this module,coding_assist
fix the test,coding_assist
run the tests,coding_assist
compile this,coding_assist
execute this script,coding_assist
write a test for this,coding_assist
add logging here,coding_assist
fix the type error,coding_assist
resolve this import error,coding_assist
make this function async,coding_assist
add validation logic,coding_assist
fix the null check,coding_assist
handle this edge case,coding_assist
extract this into a function,coding_assist
simplify this code,coding_assist
add retry logic,coding_assist
fix the race condition,coding_assist
implement the interface,coding_assist
write the migration,coding_assist
create the endpoint,coding_assist
add the middleware,coding_assist
fix the memory leak,coding_assist
write a helper function,coding_assist
add input validation,coding_assist
fix the infinite loop,coding_assist
implement caching here,coding_assist
add timeout handling,coding_assist
fix the encoding issue,coding_assist
write the parser,coding_assist
create the schema,coding_assist
add pagination support,coding_assist
fix the deadlock,coding_assist
implement the queue,coding_assist
write the serializer,coding_assist
fix the segfault,coding_assist
add authentication,coding_assist
implement rate limiting,coding_assist
fix this crash,coding_assist
write the config loader,coding_assist
add connection pooling,coding_assist
fix the timeout,coding_assist
implement the scheduler,coding_assist
write a benchmark,coding_assist
fix the performance issue,coding_assist
add batch processing,coding_assist
implement the cache,coding_assist
