text,intent
create a product promotional video,creative_video
make me a 30-second commercial,creative_video
generate a brand video for our company,creative_video
produce a short video ad,creative_video
make a product demo video,creative_video
create a corporate introduction video,creative_video
generate an advertisement video,creative_video
I need a 15-second commercial spot,creative_video
make a product showcase video,creative_video
create a TVC advertisement,creative_video
produce a new product launch video,creative_video
make an e-commerce product video,creative_video
create a company profile short film,creative_video
generate a merchandise display video,creative_video
make an app feature demo video,creative_video
I want a holiday promotion ad video,creative_video
create a recruitment promotional video,creative_video
make a course promo video,creative_video
produce a tutorial video,creative_video
generate an event recap video,creative_video
create a real estate promotional video,creative_video
make a year-end summary video,creative_video
I need a wedding video,creative_video
produce a tourism destination promo,creative_video
create a restaurant promotional video,creative_video
make a fitness course video,creative_video
produce a cooking tutorial video,creative_video
generate a music video,creative_video
create a product unboxing video,creative_video
make a tech product review video,creative_video
produce a brand story video,creative_video
generate a public service announcement video,creative_video
create a TikTok short video,creative_video
make an Instagram Reels video,creative_video
produce a YouTube video,creative_video
create a social media video ad,creative_video
make a vertical video for stories,creative_video
produce a square video for feeds,creative_video
create a livestream teaser video,creative_video
generate a video trailer,creative_video
make a horizontal widescreen promo,creative_video
create a 4K promotional video,creative_video
produce an animated explainer video,creative_video
generate a 2D animation video,creative_video
make a motion graphics video,creative_video
create a stop-motion short film,creative_video
produce a whiteboard animation,creative_video
make a 3D animated promo,creative_video
create a cartoon animation video,creative_video
generate a hand-drawn animation ad,creative_video
produce a kinetic typography video,creative_video
create a logo animation video,creative_video
make a transition effects video,creative_video
generate a particle effects video,creative_video
produce a vlog-style video,creative_video
edit this video footage for me,creative_video
add an intro and outro to the video,creative_video
do post-production on this video,creative_video
add subtitles and effects to the video,creative_video
color grade this video,creative_video
make a video mashup,creative_video
turn these photos into a video,creative_video
add background music and transitions to the video,creative_video
create a video opener,creative_video
make a countdown video,creative_video
produce a timelapse video,creative_video
create a slow-motion video,creative_video
make me a cool video,creative_video
put together a short clip,creative_video
whip up a quick ad,creative_video
can you make a promo video,creative_video
I need a video done,creative_video
get me a product video,creative_video
throw together a video for me,creative_video
knock out a quick commercial,creative_video
put a video together real quick,creative_video
shoot me a video ad,creative_video
make something I can post on social media,creative_video
create a video for my YouTube channel,creative_video
make a catchy video ad,creative_video
get me a creative commercial,creative_video
produce something with good vibes,creative_video
make a trendy video,creative_video
