text,intent
what day is tomorrow,calendar_info
what is the date today,calendar_info
what date is next monday,calendar_info
is tomorrow a holiday,calendar_info
is tomorrow a public holiday,calendar_info
is next monday a holiday,calendar_info
is this weekend a holiday,calendar_info
do we work tomorrow,calendar_info
is today a workday,calendar_info
is saturday a make up workday,calendar_info
is there any holiday this week,calendar_info
is there any public holiday next month,calendar_info
what is the lunar date today,calendar_info
what is the lunar date tomorrow,calendar_info
is tomorrow an off day,calendar_info
are we off tomorrow,calendar_info
is next monday off,calendar_info
is this weekend off,calendar_info
is tomorrow a legal holiday,calendar_info
is there any legal holiday this week,calendar_info
when is the next holiday,calendar_info
when do we get the next day off,calendar_info
when is spring festival,calendar_info
what weekday is spring festival,calendar_info
is spring festival a public holiday,calendar_info
how many days off for spring festival,calendar_info
is there make up work around spring festival,calendar_info
is spring festival off,calendar_info
do we have days off for spring festival,calendar_info
is spring festival a day off,calendar_info
do we work during spring festival,calendar_info
what is the holiday arrangement for spring festival,calendar_info
when is new year,calendar_info
what weekday is new year,calendar_info
is new year a public holiday,calendar_info
how many days off for new year,calendar_info
is there make up work around new year,calendar_info
is new year off,calendar_info
do we have days off for new year,calendar_info
is new year a day off,calendar_info
do we work during new year,calendar_info
what is the holiday arrangement for new year,calendar_info
when is labor day,calendar_info
what weekday is labor day,calendar_info
is labor day a public holiday,calendar_info
how many days off for labor day,calendar_info
is there make up work around labor day,calendar_info
is labor day off,calendar_info
do we have days off for labor day,calendar_info
is labor day a day off,calendar_info
do we work during labor day,calendar_info
what is the holiday arrangement for labor day,calendar_info
when is dragon boat festival,calendar_info
what weekday is dragon boat festival,calendar_info
is dragon boat festival a public holiday,calendar_info
how many days off for dragon boat festival,calendar_info
is there make up work around dragon boat festival,calendar_info
is dragon boat festival off,calendar_info
do we have days off for dragon boat festival,calendar_info
is dragon boat festival a day off,calendar_info
do we work during dragon boat festival,calendar_info
what is the holiday arrangement for dragon boat festival,calendar_info
when is mid autumn festival,calendar_info
what weekday is mid autumn festival,calendar_info
is mid autumn festival a public holiday,calendar_info
