text,intent
明天星期几,calendar_info
后天星期几,calendar_info
今天是几月几号,calendar_info
下周一是几号,calendar_info
今天是不是工作日,calendar_info
明天要上班吗,calendar_info
周六要补班吗,calendar_info
今天农历几月几号,calendar_info
明天农历是多少,calendar_info
后天是农历几号,calendar_info
明天会放假吗,calendar_info
明天是不是法定假日,calendar_info
下周一放假吗,calendar_info
这周末放假吗,calendar_info
这周有没有法定假日,calendar_info
下个月有法定节假日吗,calendar_info
明天是节假日吗,calendar_info
后天是节假日吗,calendar_info
这周有节假日吗,calendar_info
最近什么时候放假,calendar_info
接下来哪天放假,calendar_info
今年春节是几月几号,calendar_info
今年春节是星期几,calendar_info
今年春节放假吗,calendar_info
今年春节放几天假,calendar_info
今年春节调休吗,calendar_info
春节是不是法定节假日,calendar_info
春节放假吗,calendar_info
春节是不是休息日,calendar_info
春节要上班吗,calendar_info
春节调休怎么安排,calendar_info
今年元旦是几月几号,calendar_info
今年元旦是星期几,calendar_info
今年元旦放假吗,calendar_info
今年元旦放几天假,calendar_info
今年元旦调休吗,calendar_info
元旦是不是法定节假日,calendar_info
元旦放假吗,calendar_info
元旦是不是休息日,calendar_info
元旦要上班吗,calendar_info
元旦调休怎么安排,calendar_info
今年劳动节是几月几号,calendar_info
今年劳动节是星期几,calendar_info
今年劳动节放假吗,calendar_info
今年劳动节放几天假,calendar_info
今年劳动节调休吗,calendar_info
劳动节是不是法定节假日,calendar_info
劳动节放假吗,calendar_info
劳动节是不是休息日,calendar_info
劳动节要上班吗,calendar_info
劳动节调休怎么安排,calendar_info
今年端午节是几月几号,calendar_info
今年端午节是星期几,calendar_info
今年端午节放假吗,calendar_info
今年端午节放几天假,calendar_info
今年端午节调休吗,calendar_info
端午节是不是法定节假日,calendar_info
端午节放假吗,calendar_info
端午节是不是休息日,calendar_info
端午节要上班吗,calendar_info
端午节调休怎么安排,calendar_info
今年中秋节是几月几号,calendar_info
今年中秋节是星期几,calendar_info
今年中秋节放假吗,calendar_info
今年中秋节放几天假,calendar_info
今年中秋节调休吗,calendar_info
中秋节是不是法定节假日,calendar_info
中秋节放假吗,calendar_info
中秋节是不是休息日,calendar_info
