text,intent
帮我制作一个产品宣传视频,creative_video
我想做一个30秒的广告片,creative_video
给我生成一个企业宣传片,creative_video
帮我拍一个短视频,creative_video
制作一个产品介绍视频,creative_video
做一个品牌宣传视频,creative_video
帮我生成一段广告视频,creative_video
我需要一个15秒的商业广告,creative_video
做一段产品演示视频,creative_video
帮我制作一个TVC广告,creative_video
生成一个新品发布视频,creative_video
做一个电商产品视频,creative_video
帮我制作一段公司介绍短片,creative_video
创建一个商品展示视频,creative_video
帮我做一个app功能演示视频,creative_video
我想要一个节日促销广告视频,creative_video
制作一个招聘宣传视频,creative_video
做一个线上课程的宣传片,creative_video
帮我做一段教程视频,creative_video
生成一个活动回顾视频,creative_video
制作一个楼盘宣传视频,creative_video
帮我做一个年终总结视频,creative_video
我需要一个婚礼视频,creative_video
做一个旅游景点宣传片,creative_video
帮我制作一个餐厅宣传视频,creative_video
创建一个健身课程视频,creative_video
做一个美食制作视频,creative_video
帮我生成一个音乐MV,creative_video
制作一个产品开箱视频,creative_video
做一个科技产品评测视频,creative_video
帮我做一个品牌故事视频,creative_video
生成一段公益广告视频,creative_video
我想制作一个抖音短视频,creative_video
做一个小红书种草视频,creative_video
帮我制作一个快手视频,creative_video
创建一个B站风格的视频,creative_video
做一个微信朋友圈视频广告,creative_video
帮我做一个直播预告片,creative_video
制作一个ins风格的短视频,creative_video
生成一个竖屏短视频广告,creative_video
帮我做一个横屏宣传片,creative_video
做一个4K高清宣传视频,creative_video
帮我制作一个动画宣传片,creative_video
生成一个2D动画视频,creative_video
做一个motion graphics视频,creative_video
帮我做一个定格动画短片,creative_video
制作一个白板动画视频,creative_video
做一个3D动画宣传片,creative_video
帮我生成一个卡通动画视频,creative_video
做一个手绘动画广告,creative_video
帮我做一个MG动画,creative_video
制作一段文字动画视频,creative_video
帮我做一个logo动画视频,creative_video
生成一段转场动画视频,creative_video
做一个粒子特效视频,creative_video
帮我做个vlog风格的视频,creative_video
帮我剪辑一下这段视频素材,creative_video
给视频加个片头片尾,creative_video
帮我做视频后期处理,creative_video
给视频加字幕和特效,creative_video
帮我调一下视频的色调,creative_video
做个视频混剪,creative_video
帮我把这些照片做成视频,creative_video
给视频配上背景音乐和转场,creative_video
帮我做个视频片头,creative_video
做一个倒计时视频,creative_video
帮我做一段延时摄影效果的视频,creative_video
做个慢动作视频,creative_video
搞个视频出来,creative_video
弄个短视频呗,creative_video
给我整一个广告片,creative_video
来个宣传视频,creative_video
做个片子给我,creative_video
帮忙搞个视频广告,creative_video
弄一段宣传片出来,creative_video
给我搞个产品视频,creative_video
来个视频介绍一下产品,creative_video
整个短片出来,creative_video
做个能发朋友圈的视频,creative_video
帮我搞个能在抖音上发的视频,creative_video
来个酷一点的视频,creative_video
做个有创意的广告视频,creative_video
